Filename,Predictions
0\1000.png,3
0\1005.png,9
0\1038.png,3
0\1049.png,8
0\1052.png,6
0\1060.png,4
0\1069.png,7
0\1111.png,8
0\1124.png,5
0\113.png,5
0\1139.png,6
0\1158.png,4
0\1169.png,3
0\120.png,9
0\1203.png,7
0\1205.png,1
0\1207.png,6
0\121.png,5
0\1214.png,2
0\1216.png,0
0\1218.png,0
0\1231.png,6
0\1249.png,8
0\125.png,9
0\1252.png,3
0\1260.png,0
0\1270.png,6
0\1273.png,8
0\1285.png,3
0\1287.png,9
0\1293.png,6
0\1295.png,1
0\1305.png,6
0\1340.png,3
0\1358.png,9
0\1364.png,2
0\1371.png,9
0\1372.png,6
0\1379.png,3
0\1399.png,7
0\1403.png,4
0\141.png,4
0\1412.png,0
0\142.png,3
0\1428.png,6
0\143.png,5
0\1450.png,5
0\1451.png,3
0\1452.png,8
0\1463.png,3
0\1483.png,7
0\1494.png,7
0\1495.png,3
0\1504.png,0
0\1512.png,1
0\1541.png,7
0\155.png,4
0\1552.png,3
0\1561.png,4
0\1572.png,9
0\1574.png,8
0\1586.png,6
0\1602.png,1
0\1625.png,9
0\164.png,3
0\1641.png,1
0\1648.png,7
0\1669.png,4
0\1686.png,4
0\170.png,7
0\1707.png,1
0\1721.png,5
0\1731.png,1
0\1736.png,5
0\1742.png,5
0\1748.png,1
0\1766.png,1
0\177.png,2
0\1775.png,0
0\1777.png,9
0\180.png,3
0\1802.png,6
0\1809.png,7
0\1831.png,3
0\1836.png,5
0\1840.png,0
0\1842.png,7
0\1854.png,6
0\1858.png,7
0\1859.png,1
0\1861.png,1
0\1865.png,5
0\1867.png,3
0\1890.png,2
0\19.png,6
0\1905.png,4
0\1910.png,8
0\1919.png,6
0\1945.png,0
0\1948.png,9
0\1951.png,3
0\1970.png,4
0\1977.png,6
0\1985.png,0
0\1989.png,2
0\1999.png,4
0\201.png,6
0\2035.png,4
0\2046.png,1
0\2047.png,6
0\2055.png,1
0\206.png,5
0\2072.png,7
0\2099.png,5
0\2105.png,8
0\2140.png,6
0\2149.png,8
0\2158.png,8
0\2165.png,5
0\2174.png,6
0\2211.png,7
0\2218.png,9
0\2221.png,7
0\2224.png,3
0\223.png,1
0\2236.png,1
0\2248.png,2
0\2249.png,8
0\2264.png,7
0\2268.png,9
0\2277.png,0
0\2279.png,2
0\2280.png,2
0\2286.png,5
0\229.png,2
0\2299.png,2
0\2302.png,1
0\2308.png,8
0\2333.png,2
0\2336.png,9
0\235.png,2
0\2355.png,8
0\2357.png,7
0\2358.png,6
0\2359.png,5
0\2363.png,1
0\2374.png,0
0\2391.png,4
0\2393.png,8
0\2412.png,3
0\2416.png,5
0\2420.png,3
0\2437.png,1
0\2446.png,1
0\2450.png,4
0\2452.png,5
0\2454.png,1
0\2479.png,4
0\2483.png,9
0\2506.png,3
0\2508.png,7
0\2512.png,1
0\2522.png,2
0\2524.png,6
0\2532.png,0
0\2571.png,8
0\2581.png,5
0\2585.png,0
0\2589.png,0
0\2597.png,6
0\2599.png,8
0\260.png,7
0\2628.png,0
0\263.png,6
0\2634.png,5
0\2638.png,6
0\264.png,8
0\2641.png,7
0\2652.png,4
0\2653.png,4
0\2654.png,4
0\2663.png,6
0\2673.png,3
0\2677.png,2
0\2680.png,5
0\27.png,1
0\2713.png,4
0\2717.png,4
0\272.png,6
0\2723.png,6
0\2730.png,5
0\275.png,2
0\2759.png,2
0\2764.png,6
0\2785.png,7
0\280.png,1
0\2804.png,4
0\2806.png,8
0\2812.png,1
0\2818.png,1
0\2820.png,1
0\2828.png,0
0\2829.png,9
0\2832.png,3
0\284.png,8
0\2857.png,5
0\2872.png,5
0\2878.png,3
0\2888.png,8
0\2897.png,4
0\2909.png,4
0\2928.png,4
0\2931.png,7
0\2936.png,7
0\2953.png,7
0\2954.png,6
0\2968.png,9
0\2970.png,5
0\2978.png,3
0\2988.png,8
0\2997.png,0
0\3028.png,0
0\3038.png,1
0\304.png,8
0\305.png,7
0\3055.png,7
0\3065.png,6
0\3074.png,5
0\3096.png,3
0\3100.png,4
0\3104.png,7
0\3112.png,1
0\3113.png,7
0\3115.png,9
0\3132.png,0
0\3139.png,2
0\3141.png,9
0\3180.png,3
0\3192.png,4
0\3201.png,7
0\3205.png,4
0\3221.png,4
0\3226.png,8
0\3236.png,5
0\3244.png,9
0\3247.png,8
